,game,developers,publishers,franchises,features,released_date,platform,genres,score,score_text,esrb,esrb_info
7561,Destrega,['Omega Force'],"['Koei', 'Electro Source']",,"['Local - VS # of Players', 'Number Of Players', 'DualShock', 'Vibration']",1998-05-15 00:00:00,"['PlayStation Portable', 'PlayStation 3', 'PlayStation']",['Fighting'],5.5,mediocre,Teen,"['Animated Violence', 'Violence', 'Mild Language']"
7562,Rune Factory 4 Special,['Hakama Inc'],"['Marvelous Entertainment', 'Xseed Games']",['Rune Factory'],,2019-12-31 00:00:00,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']","['RPG', 'Simulation']",8.0,great,Teen,"['Use of Alcohol', 'Mild Suggestive Themes', 'Mild Language', 'Fantasy Violence']"
7563,The King of Fighters '94,['SNK [1978-2001]'],"['SNK [1978-2001]', 'SNK Playmore', 'Hamster Corporation']","['King of Fighters', 'ACA NeoGeo']","['Online', 'Multi-cartridge Multiplayer', 'Offline Versus Multiplayer', 'Online Versus Multiplayer']",1994-10-01 00:00:00,"['Nintendo Switch', 'Xbox One', 'PlayStation 4', 'PlayStation Portable', 'PlayStation 3', 'Wii', 'Arcade', 'NeoGeo', 'NeoGeo CD']",['Fighting'],8.0,great,Teen,"['Animated Blood', 'Mild Suggestive Themes', 'Mild Language', 'Alcohol & Tobacco Reference', 'Violence']"
7564,Painkiller: Resurrection,['Homegrown Games'],['DreamCatcher Interactive'],['Painkiller'],,2009-10-29 00:00:00,"['PC', 'Xbox 360']","['Action', 'Shooter']",2.6,painful,Mature,"['Language', 'Intense Violence', 'Blood and Gore']"
7565,Learning with the PooYoos -- Episode 2,['Lexis Numerique'],['Lexis Numerique'],,['Number Of Players'],2010-04-05 00:00:00,"['PlayStation 3', 'Wii']","['Educational', 'Adventure']",7.0,good,Everyone,['No Descriptors']
7566,PictureBook Games: Pop-Up Pursuit,['Nintendo'],['Nintendo'],,,2009-08-17 00:00:00,['Wii'],['Adventure'],6.1,okay,Everyone,
7567,Mega Man Anniversary Collection,"['Atomic Planet', 'Hanaho Asia', 'Capcom Production Studio 2']",['Capcom'],['Mega Man'],"['Memory Card', 'Vibration', 'DualShock', 'Stereo Surround', 'Memory Blocks', 'Offline Co-Op Multiplayer']",2004-06-22 00:00:00,"['Xbox', 'PlayStation 2', 'GameCube']","['Action', 'Compilation']",8.0,great,Everyone,"['Mild Cartoon Violence', 'Cartoon Violence']"
7568,Deer Hunter 2005,['Southlogic Studios'],['Atari'],,"['Number Of Players', 'Online']",2004-09-15 00:00:00,['PC'],"['Sampler', 'Hunting', 'Simulation']",7.3,good,Teen,"['Blood', 'Violence']"
7569,Jack the Ripper [2004],['Galilea Multimedia'],"['The Adventure Company', 'Wanadoo Edition']",,"['Number Of Players', 'Memory Card']",2004-01-29 00:00:00,['PC'],['Adventure'],7.8,good,Teen,"['Blood and Gore', 'Suggestive Themes', 'Violence']"
7570,Risk of Rain 2,"['Hopoo Games', 'PlayEveryWare']",['Gearbox Publishing'],['Risk of Rain'],"['Online Co-Op Multiplayer', 'Steam Deck Verified']",2019-03-28 00:00:00,"['Stadia', 'Xbox One', 'Nintendo Switch', 'PlayStation 4', 'PC']","['Action', 'Platformer', 'Roguelike / Rogue-Lite']",9.0,amazing,Teen,"['Blood', 'Drug Reference', 'Fantasy Violence', ' Users Interact']"
